OA11CD,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,Inner_Outer
E00000001,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,Inner London
E00000003,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,Inner London
E00000005,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,Inner London
E00000007,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,Inner London
E00000010,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,Inner London
E00000012,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,Inner London
E00000013,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,Inner London
E00000014,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,Inner London
E00000016,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,Inner London
E00000017,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,Inner London
E00000018,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,Inner London
E00000019,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,Inner London
E00000020,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,Inner London
E00000021,E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,Inner London
E00000022,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,Inner London
E00000023,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,Inner London
E00000024,E01032739,City of London 001F,E02000001,City of London 001,E09000001,City of London,Inner London
E00000025,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London,Inner London
E00000026,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London,Inner London
E00000027,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London,Inner London
E00000028,E01032740,City of London 001G,E02000001,City of London 001,E09000001,City of London,Inner London
E00000029,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,Inner London
E00000030,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,Inner London
E00000031,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,Inner London
E00000032,E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,Inner London
E00000035,E01032739,City of London 001F,E02000001,City of London 001,E09000001,City of London,Inner London
E00166755,E01032739,City of London 001F,E02000001,City of London 001,E09000001,City of London,Inner London
E00166756,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,Inner London
E00166757,E01032739,City of London 001F,E02000001,City of London 001,E09000001,City of London,Inner London
E00166758,E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,Inner London
E00166759,E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,Inner London
E00000137,E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,Outer London
E00000138,E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,Outer London
E00000139,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,Outer London
E00000140,E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,Outer London
E00000141,E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,Outer London
